title,field,apply_period,views,id,prize_id,prize,office_id,office,juchae,jukwan,field_d,apply_target,prize_1st,apply_url,image_url,act_id
제1회 창작의 날씨 서치-라이트 웹 문학 공모전,문학/수기,2022.10.24~2022.12.02,7238,54661,1,5000~,3,대기업,교보문고,교보문고,문학/수기,대학생/대학원생/일반인/중학생/고등학생,"3,000만원",https://nalcee.com/community/event/34,https://www.thinkcontest.com/ufiles/contest/2b49a61af02f6c8df4b532f97c5a0649fd4d2aa4.jpg,1
2022 국방 AI 경진대회,기획/아이디어과학/공학게임/소프트웨어,2022.09.30~2022.11.02,5965,54015,1,5000~,1,중앙정부/기관,"대한민국 국방부, 과학기술정보통신부","정보통신기획평가원, 한국공개소프트웨어협회, 이노베이션 아카데미 ",기획/아이디어과학/공학게임/소프트웨어,"대학생/대학원생/일반인/대한민국 국적의 대학(원)생(휴학생 포함), 국방부 소속 전 장병(간부, 군무원 포함)","2,000만원",https://maicon.kr/,https://www.thinkcontest.com/ufiles/contest/e3c9288c1167cf35b7ad903deee2ed91864c0f47.png,2
제 1회 인터랙티브 스토리 공모전,문학/수기,2022.09.08~2022.10.31,10857,52964,1,5000~,2,공기업,"서울산업진흥원, (주)띵스플로우, (주)밤부네트워크",조선교육문화미디어,문학/수기,대학생/대학원생/일반인/중학생/고등학생,500만원,https://studio.storyplay.com,https://www.thinkcontest.com/ufiles/contest/9c6da5d9ab7349c7a7c87f26ad24012049ad1954.jpg,3
"동학농민혁명 스토리(웹툰, 웹소설) 공모전",문학/수기캐릭터/만화,2022.10.04~2022.11.07,33904,50767,1,5000~,6,지방자치단체,"전라북도, 정읍시, 고창군, 부안군",서울신문,문학/수기캐릭터/만화,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,"웹툰) 5천만원, 웹소설) 3천만원",https://xn--ob0b30gn4bp0j84acg11gs3u6xl0mxnljx2b.kr/,https://www.thinkcontest.com/ufiles/contest/18df280721c9056c3000b8c81ad2f0e1f93a7453.png,4
제 10회 전국 청소년 챔피온십 NEWAGE VOL.10 TEENAGER CHAMPIONSHIP,예체능,2022.10.20~2022.11.21,169,55676,1,5000~,7,학교/재단/협회,호서예술실용전문학교,호서예술실용전문학교,예체능,대학생/일반인/중학생/고등학생/24세 미만,150만원,https://www.koreaart.ac.kr/life/noticeView.asp?idx=320682&pageNo=1&searchKeyword=,https://www.thinkcontest.com/ufiles/contest/6a7cf3fcd87fdccd262b8d7cee99411ab223cf50.jpg,5
올해의 과학문화도시 충주 미디어아트 공모전 (기간 연장),UCC/영상,2022.10.01~2022.11.14,233,55601,1,5000~,7,학교/재단/협회,한국교통대학교 충북과학문화거점센터,호서예술실용전문학교,UCC/영상,대학생/대학원생/일반인/기업/제한없음,"2,000만원",https://csi.chungbuk.kr/,https://www.thinkcontest.com/ufiles/contest/5689f3f049089387d4f863313f5eb80ea6add7bc.png,6
(경진대회) 2022 드림플러스 블록체인 해커톤,과학/공학게임/소프트웨어,2022.10.19~2022.11.10,330,55492,1,5000~,3,대기업,한화 드림플러스,한화 드림플러스,과학/공학게임/소프트웨어,대학생/대학원생/일반인,4000만원,https://www.dreamplus.asia/programs/hackathon,https://www.thinkcontest.com/ufiles/contest/50177ecc91045b985e891e91ca83126e023760ad.jpg,7
2022 국민 크리에이터 페스티벌,UCC/영상,2022.09.15~2022.10.31,870,53254,1,5000~,3,대기업,KB국민은행,KB국민은행,UCC/영상,제한없음/기타,1000만원,https://bit.ly/3BmaZf3,https://www.thinkcontest.com/ufiles/contest/36724a5ede0cbff93aed87302e482ded158dda27.jpg,8
KOCCA X 고즈넉이엔티 2022 신진스토리 장르소설작가 공모전,문학/수기,2022.09.20~2022.10.31,240,55168,1,5000~,8,중소/벤처기업,고즈넉이엔티,KB국민은행,문학/수기,아직 본인 단독으로 종이책 소설을 출간한 적 없는 작가,500만원,https://www.storyum.kr/story/progrm/master/view.do?prgSn=584&listTp=StartN&menuNo=500004&searchCnd=&prgSe=&prgNm=&sdate=&edate=&reqstMthd=&progrsSttus=&deptId=&useAt=&prgCn=&siteSe=story&degree=&viewType=&siteId=5&inoutSe=01&pageIndex=1&siteId=5,https://www.thinkcontest.com/ufiles/contest/49d2e7e9745d7426f950661abfa74b4574db4312.png,9
웹소설/오디오드라마 센슈얼 로맨스 공모전(기간연장),문학/수기,2022.09.26~2022.11.25,484,55164,1,5000~,3,대기업,"플링, 싸이더스, 시공사",플링,문학/수기,대학생/대학원생/일반인,1500만원,https://www.plingcast.com/event/who's-your-grey,https://www.thinkcontest.com/ufiles/contest/c6e38ac9a786abf7f2b97df4bed124e74db3bdf4.png,10
(기타) 대한민국 크리에이터 중국 진출 챌린지,UCC/영상,2022.10.10~2023.01.17,325,54896,1,5000~,8,중소/벤처기업,"서울특별시, 아도바 주식회사","서울특별시, 아도바 주식회사",UCC/영상,대학생/대학원생/일반인/초등학생/중학생/고등학생/제한없음,최대 1억,https://bit.ly/3Cnvk3P,https://www.thinkcontest.com/ufiles/contest/fa543a7db811404980bafaf6f972f6828405f396.png,11
(기타) 대한민국 크리에이터 중국 진출 챌린지,UCC/영상,2022.10.10~2023.01.17,388,54792,1,5000~,8,중소/벤처기업,"서울특별시, 아도바 주식회사","서울특별시, 아도바 주식회사",UCC/영상,대학생/중학생/고등학생/제한없음,최대 1억,https://bit.ly/3CMmA99,https://www.thinkcontest.com/ufiles/contest/16f607091133809bccaf82b54d56b141ea709663.jpg,12
제7회 공간정보 활용 창업 아이디어 공모전,취업/창업,2022.10.04~2022.11.11,781,54408,1,5000~,2,공기업,국토교통부,"서울특별시, 아도바 주식회사",취업/창업,일반인/기업/현재 창업 7년 이내인 자,3000만원,https://startup.lx.or.kr/notice/participation_view.do?boardNo=35,https://www.thinkcontest.com/ufiles/contest/2c0940b602a38acf8ed4af213963e689418f5f21.jfif,13
2022 영상화 타깃 웹툰 IP 인큐베이팅 공모전 메가힛투유,기획/아이디어문학/수기캐릭터/만화,2022.08.24~2022.11.10,719,54388,1,5000~,3,대기업,"메가박스중앙(주)플러스엠, (주)투유드림","메가박스중앙(주)플러스엠, (주)투유드림",기획/아이디어문학/수기캐릭터/만화,대학생/대학원생/일반인/제한없음,"5,000만원",https://megahittoyou.com/,https://www.thinkcontest.com/ufiles/contest/81542302325ccf09bd35727d2d9891046b967bb7.png,14
2022 애니툰 10월 웹툰/웹소설 공모전,캐릭터/만화,2022.10.01~2022.10.31,1357,54151,1,5000~,8,중소/벤처기업,주식회사 애니툰,주식회사 애니툰,캐릭터/만화,대학생/대학원생/일반인/고등학생/제한없음/19세 작품은 성인 한정,5000만원,https://www.anytoon.co.kr/more/event_list,https://www.thinkcontest.com/ufiles/contest/c0741ea9504f87d7438291c2b3bd3f11ac777601.jpg,15
2022 영상화 타깃 웹툰 IP 인큐베이팅 공모전 메가힛 투유,기획/아이디어캐릭터/만화,2022.08.24~2022.11.10,1245,52244,1,5000~,8,중소/벤처기업,"투유드림, 메가박스중앙플러스엠","투유드림, 메가박스중앙플러스엠",기획/아이디어캐릭터/만화,대학생/대학원생/일반인/고등학생,"5,000만원",https://www.megahittoyou.com/,https://www.thinkcontest.com/ufiles/contest/4a910c1aba821ec5c7f37df87e9d20012c6cf4cc.png,16
제1회 위즈덤하우스 어린이청소년 판타지문학상 공모,문학/수기,2022.07.13~2022.12.31,2179,49892,1,5000~,8,중소/벤처기업,위즈덤하우스,위즈덤하우스,문학/수기,어린이/초등학생/중학생/고등학생,"2,000만원",https://www.wisdomhouse.co.kr/,https://www.thinkcontest.com/ufiles/contest/6cf089a49b61096a3d53c6b4c7e3fffbf897e39d.jpg,17
대한민국 경제오디션 내가 경제스타 K,대외활동,2022.07.11~2022.12.30,867,49693,1,5000~,4,신문/방송/언론,KBS1,KBS1,대외활동,대학생/대학원생/일반인/제한없음,6천만원,https://program.kbs.co.kr/1radio/radio/hongeconomy/pc/board.html?smenu=3c9923&bbs_loc=R2021-0015-03-,https://www.thinkcontest.com/ufiles/contest/89272e31fd16fe679dbfabd8234acae54193953a.png,18
2022 아크미디어 미니시리즈공모전,기획/아이디어문학/수기,2022.10.24~2022.10.31,1442,48718,1,5000~,4,신문/방송/언론,아크미디어,아크미디어,기획/아이디어문학/수기,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,1억원,http://www.arc-media.net/pr/notice.php?ptype=view&idx=91&page=1&code=notice,https://www.thinkcontest.com/ufiles/contest/3ed3408672052fc17369f4260b61f9dd65d9de39.png,19
올포원 펀TV 먹방챌린지,UCC/영상,2022.01.01~2022.12.31,2489,40577,1,5000~,8,중소/벤처기업,(주)펀앤아이,(주)펀앤아이,UCC/영상,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,"1,000만원",https://blog.naver.com/allforonefuntv/222615603667,https://www.thinkcontest.com/ufiles/contest/6fb04b710cea2d80dc253227bfc72aa8eab69efa.png,20
green이니셔티브 60초 영화제 with 제주삼다수,기획/아이디어UCC/영상,2022.10.04~2022.11.30,2639,55497,2,3000~5000,3,대기업,"제주MBC, 제주특별자치도 개발공사",제주특별자치도 개발공사,기획/아이디어UCC/영상,대학생/대학원생/일반인/중학생/고등학생,"1,000만원",http://www.green60sec.com/,https://www.thinkcontest.com/ufiles/contest/ba0f51172090b1b3e33b934d76df4e76c74b52de.png,21
2022 태권도 공연 시나리오 공모전,문학/수기,2022.10.01~2022.11.09,7055,54137,2,3000~5000,7,학교/재단/협회,태권도진흥재단,태권도진흥재단,문학/수기,대학생/대학원생/일반인/중학생/고등학생,"3,000만원",http://2022태권도공연시나리오.kr,https://www.thinkcontest.com/ufiles/contest/47fe5c52c01ba5eab8e893d7e3b0c520ddc76354.jpg,22
DDP-NFT Collecting Vol.1 NFT 디자이너 공모전,디자인,2022.09.01~2022.11.03,9379,52192,2,3000~5000,7,학교/재단/협회,서울디자인재단,"서울디자인재단, 델리오",디자인,대학생/대학원생/일반인/고등학생/제한없음,350만원,https://www.01etc.com/live/ddp,https://www.thinkcontest.com/ufiles/contest/9d0cb2f802deaf9069a7925fbede304860cba156.JPG,23
2022 포항국제사진제 일반 공모전,사진UCC/영상,2022.10.24~2022.12.10,182,55819,2,3000~5000,6,지방자치단체,포항시,포항문화재단,사진UCC/영상,대학생/대학원생/일반인/중학생/고등학생/제한없음,2000만원,https://piff.world/page_byNy88,https://www.thinkcontest.com/ufiles/contest/df52a33742fddfad037a12989aa0459a910f2fd2.jpg,24
서울문화재단X도미노피자 <2022 시각예술 신진작가 작품 공모전>,디자인,2022.10.25~2022.11.18,142,55766,2,3000~5000,7,학교/재단/협회,서울문화재단,서울문화재단,디자인,일반인/시각예술 분야 신진작가,500만원,https://www.sfac.or.kr/participation/participation/artspace_project.do?pageIndex=1&firstPageIndex=1&lastPageIndex=&searchSpceCode=&searchSttusCd=&prjIdx=238&step=1&interest1=,https://www.thinkcontest.com/ufiles/contest/33b99405f18b8c973f5234c4aba05ba2eb0531ef.png,25
