id,id,title,views,prize_id,office_id,juchae,jukwan,apply_period,prize_1st,apply_url,image_url,field,prize,office,target,act_id,all
1,1,제 1회 인터랙티브 스토리 공모전,1344,1,2,"서울산업진흥원, (주)띵스플로우, (주)밤부네트워크",조선교육문화미디어,2022.09.08~2022.10.31,500만원,https://studio.storyplay.com,https://www.thinkcontest.com/ufiles/contest/9c6da5d9ab7349c7a7c87f26ad24012049ad1954.jpg,문학/수기,5000~,공기업,대학생/대학원생/일반인/중학생/고등학생,1.0,문학/수기 공기업 5000~대학생/대학원생/일반인/중학생/고등학생
2,2,2022년  “도전.한국” 국민 아이디어 공모,9211,1,1,행정안전부,행정안전부,2022.08.10~2022.10.28,"5,000만원",https://www.onsotong.go.kr/front/methodPssrp/methodPssrpBbsViewPage.do?bbs_id=e9ec2f6ee3904d14888f8238254293dc&menu_id=523,https://www.thinkcontest.com/ufiles/contest/2bcbfc359d2fb71677c0ba3ea1acec10adcd86d4.jpg,기획/아이디어,5000~,중앙정부/기관,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,2.0,기획/아이디어 중앙정부/기관 5000~대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음
3,3,"순환경제 신사업 공모전 (이제는, Circular Business)",7117,1,1,산업통상자원부,"한국생산기술연구원, 한국산업지능화협회",2022.08.29~2022.09.23,기업;1억원(지원금) 개인:300만원,https://www.circularbusiness.or.kr,https://www.thinkcontest.com/ufiles/contest/9672f702aa9e8fd78d04bcef121614806f67e8b5.png,기획/아이디어UCC/영상예체능,5000~,중앙정부/기관,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,3.0,기획/아이디어UCC/영상예체능 중앙정부/기관 5000~대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음
4,4,(지원사업) 제24회 가천효행대상 전국공모,104,1,7,재단법인 가천문화재단,가천효행대상 운영위원회,2022.09.19~2022.10.07,"1,000만원",http://www.gachon.or.kr/subPage/apply_3,https://www.thinkcontest.com/ufiles/contest/b687d3cfde9054ba67843474f87d11568393e34b.png,장학(금)재단,5000~,학교/재단/협회,대학생/대학원생/일반인/중학생/고등학생/기업/제한없음,4.0,장학(금)재단 학교/재단/협회 5000~대학생/대학원생/일반인/중학생/고등학생/기업/제한없음
5,5,동그라미재단 2022 O-Prize: Good Mobility 공모전,142,1,7,동그라미재단,동그라미재단,2022.08.10~2022.09.30,"5,000만원",https://www.o-prize.com,https://www.thinkcontest.com/ufiles/contest/f1bd9027a2c1d8b67564efd2a8ff7f267680fec3.jpg,기획/아이디어과학/공학,5000~,학교/재단/협회,대학생/대학원생/일반인/기업/제한없음,5.0,기획/아이디어과학/공학 학교/재단/협회 5000~대학생/대학원생/일반인/기업/제한없음
6,6,"(경진대회) 춤을 통해 여러분의 인생을 표현해주세요, 춤생",79,1,8,(주)진힙즈엔터테인먼트,(주)진힙즈엔터테인먼트,2022.09.01~2022.09.30,1200만원,http://chumsaeng.com/,https://www.thinkcontest.com/ufiles/contest/d36827943087be3c61a579c05ee743f466d98857.png,예체능대외활동,5000~,중소/벤처기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,6.0,예체능대외활동 중소/벤처기업 5000~대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
7,7,(경진대회) 2022년 NH투자증권 빅데이터 경진대회,410,1,3,NH투자증권,(주)진힙즈엔터테인먼트,2022.09.16~2022.10.17,"총 상금 5,000만원과 제출 이벤트",https://aifactory.space/page/nhis,https://www.thinkcontest.com/ufiles/contest/abf2fd553e20f22255a3efb7ed450c6ccd7c1401.png,기획/아이디어과학/공학,5000~,대기업,대학생/대학원생,7.0,기획/아이디어과학/공학 대기업 5000~대학생/대학원생
8,8,29회 삼성휴먼테크 논문대상,240,1,3,삼성전자,(주)진힙즈엔터테인먼트,2022.09.01~2022.10.05,"2,000만원",https://humantech.samsung.com/saitext/index.jsp,https://www.thinkcontest.com/ufiles/contest/9a211a3159b764b1f515415c00f01ebb13710775.png,논문/리포트,5000~,대기업,대학생/고등학생,8.0,논문/리포트 대기업 5000~대학생/고등학생
9,9,2022 국민 크리에이터 페스티벌,310,1,3,KB국민은행,KB국민은행,2022.09.15~2022.10.31,1000만원,https://bit.ly/3BmaZf3,https://www.thinkcontest.com/ufiles/contest/36724a5ede0cbff93aed87302e482ded158dda27.jpg,UCC/영상,5000~,대기업,제한없음/기타,9.0,UCC/영상 대기업 5000~제한없음/기타
10,10,2022 외국인 대상 한식 영상 공모전,241,1,2,"농림축산식품부, 한식진흥원","농림축산식품부, 한식진흥원",2022.08.22~2022.09.30,7천달러,http://www.playkoreanfood.com/,https://www.thinkcontest.com/ufiles/contest/c11449702bf4a5589c3bfcdf9a2a4df87aaffcf0.jpg,UCC/영상,5000~,공기업,대학생/대학원생/일반인/고등학생/외국인,10.0,UCC/영상 공기업 5000~대학생/대학원생/일반인/고등학생/외국인
