id,act_id,title,field,prize,office,target,prize_1st,all
52964,1,제 1회 인터랙티브 스토리 공모전,문학 수기,5000~,공기업,대학생/대학원생/일반인/중학생/고등학생,500만원,문학 수기 공기업 5000~
52241,2,2022년  “도전.한국” 국민 아이디어 공모,기획 아이디어,5000~,중앙정부 기관,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,"5,000만원",기획 아이디어 중앙정부 기관 5000~
51721,3,"순환경제 신사업 공모전 (이제는, Circular Business)",기획 아이디어UCC 영상예체능,5000~,중앙정부 기관,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,기업;1억원(지원금) 개인:300만원,기획 아이디어UCC 영상예체능 중앙정부 기관 5000~
53581,4,(지원사업) 제24회 가천효행대상 전국공모,장학(금)재단,5000~,학교 재단 협회,대학생/대학원생/일반인/중학생/고등학생/기업/제한없음,"1,000만원",장학(금)재단 학교 재단 협회 5000~
53511,5,동그라미재단 2022 O-Prize: Good Mobility 공모전,기획 아이디어과학 공학,5000~,학교 재단 협회,대학생/대학원생/일반인/기업/제한없음,"5,000만원",기획 아이디어과학 공학 학교 재단 협회 5000~
53493,6,"(경진대회) 춤을 통해 여러분의 인생을 표현해주세요, 춤생",예체능대외활동,5000~,중소 벤처기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,1200만원,예체능대외활동 중소 벤처기업 5000~
53287,7,(경진대회) 2022년 NH투자증권 빅데이터 경진대회,기획 아이디어과학 공학,5000~,대기업,대학생/대학원생,"총 상금 5,000만원과 제출 이벤트",기획 아이디어과학 공학 대기업 5000~
53307,8,29회 삼성휴먼테크 논문대상,논문 리포트,5000~,대기업,대학생/고등학생,"2,000만원",논문 리포트 대기업 5000~
53254,9,2022 국민 크리에이터 페스티벌,UCC 영상,5000~,대기업,제한없음/기타,1000만원,UCC 영상 대기업 5000~
53217,10,2022 외국인 대상 한식 영상 공모전,UCC 영상,5000~,공기업,대학생/대학원생/일반인/고등학생/외국인,7천달러,UCC 영상 공기업 5000~
